,Track_id,Name,Album,Artist,Release_Date,Length,Popularity,Acousticness,Danceability,Energy,Instrumentness,Liveness,Loudness,Valence,Speechness,Tempo,Time_Signature
318,0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,Rasputin,Majestic,2021-02-26,186209,81,0.00364,0.758,0.913,6.92e-05,0.193,-2.926,0.658,0.113,128.04,4
319,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,Belly Dancer,Imanbek,2022-02-18,151475,83,0.0582,0.845,0.797,5.57e-06,0.167,-4.984,0.422,0.139,121.985,4
320,1J14CdDAvBTE1AJYUOwl6C,Arcade,Small Town Boy (Track By Track),Duncan Laurence,2020-11-12,185146,78,0.827,0.453,0.35,0.00122,0.144,-11.639,0.279,0.0425,72.017,3
321,561jH07mF1jHuk7KlaeF0s,Mockingbird,Encore (Deluxe Version),Eminem,2004-11-12,250760,90,0.209,0.637,0.678,0.0,0.156,-3.798,0.254,0.266,84.039,4
322,16cJrPZsK40Ath0EnChE7E,Barbie Girl,Barbie Girl,Lady Aqua,2010-01-18,209893,55,0.0178,0.751,0.947,0.0184,0.372,-2.96,0.709,0.0597,129.959,4
323,2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010-05-07,202626,7,0.00627,0.766,0.873,0.0,0.0764,-6.381,0.743,0.143,126.988,4
324,4sCdH0ZaDJkvdOvpQSpJTz,Brazil (La La La La),Carnival in Brazil: 40 Latin Classics,Various Artists,2014-02-10,192400,49,0.0124,0.693,0.653,0.000652,0.103,-13.073,0.954,0.052,136.988,4
325,3HVePjHJWt5uI9HtHgV4aM,Tacata,Tacata,Tiagz,2023-08-11,114626,74,0.13,0.842,0.557,0.017,0.0712,-3.854,0.451,0.0533,133.958,4
326,5cjRF0yXxYvqzmJfUbq9AW,Sleepwalker - Slowed,Sleepwalker (Slowed),akiaura,2023-07-14,258008,75,0.0132,0.555,0.806,0.372,0.16,-5.589,0.103,0.0268,98.575,4
327,2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly,Narrated For You,Alec Benjamin,2018-11-16,169353,88,0.74,0.652,0.557,0.0,0.124,-5.714,0.483,0.0318,150.073,4
